init_water,smt1,smt2,smt3,maxirr,p_up2,p_up3,ccx,cdc,rtx,hi,wp,polmx,polfin,kc,hipsveg,eme,histart,mat,flowering,maxrooting,senescence,yldform,max_irrseason,crop_name,irrig_method
,,,,,,,,,,,,,,,,,,,,,,,310.8852209620414,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,313.87578069332915,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,313.5282350456679,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,313.3343887091325,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,312.6184586052917,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,312.6018798813582,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,312.587420396141,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,311.0024746012604,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,313.9655375996443,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,313.5210507744855,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,312.6198947827519,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,313.5133124274825,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,313.9637436169681,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,313.9101119596674,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,313.47881974156724,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,313.44132777125947,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,312.63532239549613,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,312.61708254645106,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,311.00307271181515,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,312.6006793302275,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,313.6058128877718,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,313.90100605862915,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,313.8907369896296,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,313.1620298583224,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,312.8288192143395,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,312.63004214002643,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,312.79699519756286,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,313.6342216965807,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,314.0122288452135,corn,1.0
